procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 20159216 204840 7892548    0    0     0   107 1165 1631  1  1 99  0  0
 0  0      0 20144360 204896 7892300    0    0     0    93 1198 1644  1  1 98  0  0
 0  0      0 20149424 204944 7892828    0    0     0  8793 1180 1656  1  1 99  0  0
 0  0      0 20149900 205024 7899004    0    0     0   104 1207 1815  1  1 98  0  0
 0  0      0 20150004 205072 7894648    0    0     0    76 1140 1628  1  1 99  0  0
 0  0      0 20145040 205120 7893116    0    0     0    91 1163 1669  1  1 99  0  0
 0  0      0 20144988 205168 7892632    0    0     0    74 1134 1666  1  1 99  0  0
 0  0      0 20098368 205224 7904188    0    0     0   130 1272 2088  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 20142592 205304 7892956    0    0     0   117 1160 1669  1  1 98  0  0
 0  0      0 20156444 205352 7892724    0    0     0    76 1269 1722  1  1 98  0  0
 0  0      0 20162092 205400 7895760    0    0     0    96 1197 1720  1  1 98  0  0
 0  0      0 20163952 205464 7892768    0    0     0    79 1177 1689  1  1 98  0  0
 0  0      0 20153012 205520 7892760    0    0     0    75 1136 1666  1  1 98  0  0
 0  0      0 20150204 205584 7892792    0    0     0    78 1113 1579  1  1 99  0  0
 0  0      0 20146872 205640 7893048    0    0     0    66 1167 1621  1  1 99  0  0
 0  0      0 20156024 205720 7893084    0    0     0   103 1166 1699  1  1 98  0  0
 0  0      0 20146492 205752 7893108    0    0     0    77 1156 1654  1  1 99  0  0
 0  0      0 20160356 205832 7892836    0    0     0   118 1214 1668  1  1 98  0  0
 0  0      0 20153048 205872 7892868    0    0     0    63 1123 1542  1  1 99  0  0
 1  0      0 20155216 205936 7892992    0    0     0    84 1130 1611  1  1 99  0  0
 0  0      0 20158596 206008 7896036    0    0     0    91 1263 1698  1  1 98  0  0
 1  0      0 20161708 206056 7896748    0    0     0    65 1088 1634  1  1 98  0  0
 0  0      0 20163156 206104 7895980    0    0     0    73 1229 1883  1  1 98  0  0
 0  0      0 20125912 206152 7899360    0    0     0    93 1173 1606  1  1 98  0  0
 0  0      0 20155720 206296 7892516    0    0     3   107 1211 1853  1  1 99  0  0
 0  0      0 20150392 206352 7895076    0    0     0   104 1233 1806  1  1 98  0  0
 0  0      0 20145476 206400 7895084    0    0     0    93 1115 1664  1  1 98  0  0
